tconst,title,runtime,genres,year,rating,votes
tt5463162,Deadpool 2,119,"Action,Adventure,Comedy",2018,7.6,604270
tt1677720,Ready Player One,140,"Action,Adventure,Sci-Fi",2018,7.4,453379
tt7040874,A Simple Favor,117,"Comedy,Crime,Mystery",2018,6.8,154653
tt1590193,The Commuter,104,"Action,Mystery,Thriller",2018,6.3,119480
tt6966692,Green Book,130,"Biography,Comedy,Drama",2018,8.2,518119
tt1517451,A Star Is Born,136,"Drama,Music,Romance",2018,7.6,397248
tt7401588,Instant Family,118,"Comedy,Drama",2018,7.3,111863
tt5083738,The Favourite,119,"Biography,Comedy,Drama",2018,7.5,208015
tt5052474,Sicario: Day of the Soldado,122,"Action,Crime,Drama",2018,7.1,155994
tt4912910,Mission: Impossible - Fallout,147,"Action,Adventure,Thriller",2018,7.7,344450
tt4881806,Jurassic World: Fallen Kingdom,128,"Action,Adventure,Sci-Fi",2018,6.1,327009
tt1502407,Halloween,106,"Crime,Horror,Thriller",2018,6.5,160289
tt5758778,Skyscraper,102,"Action,Adventure,Thriller",2018,5.8,126574
tt5095030,Ant-Man and the Wasp,118,"Action,Adventure,Comedy",2018,7.0,424129
tt5104604,Isle of Dogs,101,"Adventure,Animation,Comedy",2018,7.8,177235
tt5164214,Ocean's Eight,110,"Action,Comedy,Crime",2018,6.3,228978
tt5164432,"Love, Simon",110,"Comedy,Drama,Romance",2018,7.5,119186
tt1727824,Bohemian Rhapsody,134,"Biography,Drama,Music",2018,7.9,555426
tt7349662,BlacKkKlansman,135,"Biography,Comedy,Crime",2018,7.5,273567
tt3829266,The Predator,107,"Action,Adventure,Horror",2018,5.3,137777
tt3846674,To All the Boys I've Loved Before,99,"Comedy,Drama,Romance",2018,7.0,114354
tt4123430,Fantastic Beasts: The Crimes of Grindelwald,134,"Adventure,Family,Fantasy",2018,6.5,293323
tt6499752,Upgrade,100,"Action,Sci-Fi,Thriller",2018,7.5,192782
tt1536537,What Happened to Monday,123,"Action,Crime,Fantasy",2017,6.8,128053
tt0451279,Wonder Woman,141,"Action,Adventure,Fantasy",2017,7.4,673789
tt5109784,Mother!,121,"Drama,Horror,Mystery",2017,6.6,235608
tt3717490,Power Rangers,124,"Action,Adventure,Fantasy",2017,5.9,111148
tt5140878,Annabelle: Creation,109,"Horror,Mystery,Thriller",2017,6.5,140919
tt2771200,Beauty and the Beast,129,"Adventure,Family,Fantasy",2017,7.1,318653
tt2763304,T2 Trainspotting,117,"Comedy,Drama",2017,7.2,128313
tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,129,"Action,Adventure,Fantasy",2017,6.5,324089
tt2250912,Spider-Man: Homecoming,133,"Action,Adventure,Sci-Fi",2017,7.4,678991
tt1389072,Downsizing,135,"Drama,Fantasy,Sci-Fi",2017,5.8,115486
tt4925292,Lady Bird,94,"Comedy,Drama",2017,7.4,303809
tt5052448,Get Out,104,"Horror,Mystery,Thriller",2017,7.7,639784
tt2283362,Jumanji: Welcome to the Jungle,119,"Action,Adventure,Comedy",2017,6.9,396345
tt5013056,Dunkirk,106,"Action,Drama,History",2017,7.8,681456
tt3967856,Okja,120,"Action,Adventure,Drama",2017,7.3,126453
tt5027774,"Three Billboards Outside Ebbing, Missouri",115,"Comedy,Crime,Drama",2017,8.1,525424
tt5580036,"I, Tonya",119,"Biography,Comedy,Drama",2017,7.5,226965
tt5580390,The Shape of Water,123,"Drama,Fantasy,Romance",2017,7.3,431825
tt2406566,Atomic Blonde,115,"Action,Thriller",2017,6.7,199304
tt2345759,The Mummy,111,"Action,Adventure,Fantasy",2017,5.4,196164
tt5519340,Bright,117,"Action,Fantasy,Thriller",2017,6.3,194748
tt1219827,Ghost in the Shell,107,"Action,Crime,Drama",2017,6.3,220462
tt5726616,Call Me by Your Name,132,"Drama,Romance",2017,7.8,287919
tt2380307,Coco,105,"Adventure,Animation,Comedy",2017,8.4,532844
tt1615160,The Foreigner,113,"Action,Thriller",2017,7.0,118307
tt5715874,The Killing of a Sacred Deer,121,"Drama,Horror,Mystery",2017,7.0,164017
tt5638642,The Ritual,94,"Horror,Mystery,Thriller",2017,6.3,108135
tt5649144,The Florida Project,111,Drama,2017,7.6,119935
tt3890160,Baby Driver,113,"Action,Crime,Drama",2017,7.6,565675
tt5308322,Happy Death Day,96,"Comedy,Horror,Mystery",2017,6.6,150950
tt2543472,Wonder,113,"Drama,Family",2017,7.9,170273
tt3731562,Kong: Skull Island,118,"Action,Adventure,Fantasy",2017,6.6,329609
tt3896198,Guardians of the Galaxy Vol. 2,136,"Action,Adventure,Comedy",2017,7.6,711913
tt2316204,Alien: Covenant,122,"Horror,Sci-Fi,Thriller",2017,6.4,289495
tt5462602,The Big Sick,120,"Comedy,Drama,Romance",2017,7.5,139189
tt1648190,The Dark Tower,95,"Action,Adventure,Fantasy",2017,5.6,141885
tt5742374,You Were Never Really Here,89,"Crime,Drama",2017,6.7,122989
tt5362988,Wind River,107,"Crime,Drama,Mystery",2017,7.7,262314
tt3748172,Gerald's Game,103,"Drama,Horror,Thriller",2017,6.5,116467
tt2527336,Star Wars: Episode VIII - The Last Jedi,152,"Action,Adventure,Fantasy",2017,6.9,647217
tt5439796,Logan Lucky,118,"Action,Comedy,Crime",2017,7.0,155238
tt5442430,Life,104,"Horror,Sci-Fi,Thriller",2017,6.6,239527
tt3874544,The Boss Baby,97,"Adventure,Animation,Comedy",2017,6.3,132925
tt3371366,Transformers: The Last Knight,154,"Action,Adventure,Sci-Fi",2017,5.2,157786
tt5776858,Phantom Thread,130,"Drama,Romance",2017,7.4,137933
tt1856101,Blade Runner 2049,164,"Action,Drama,Mystery",2017,8.0,602623
tt3521126,The Disaster Artist,104,"Biography,Comedy,Drama",2017,7.3,158443
tt4481414,Gifted,101,Drama,2017,7.6,122517
tt0974015,Justice League,120,"Action,Adventure,Fantasy",2017,6.1,462718
tt4209788,Molly's Game,140,"Biography,Crime,Drama",2017,7.4,179077
tt6294822,The Post,116,"Biography,Drama,History",2017,7.2,156166
tt1469304,Baywatch,116,"Action,Comedy,Crime",2017,5.5,193281
tt4555426,Darkest Hour,125,"Biography,Drama,War",2017,7.4,209227
tt3532216,American Made,115,"Action,Comedy,Crime",2017,7.1,193076
tt4465564,Fifty Shades Darker,118,"Drama,Romance,Thriller",2017,4.6,106229
tt4425200,John Wick: Chapter 2,122,"Action,Crime,Thriller",2017,7.4,474863
tt3315342,Logan,137,"Action,Drama,Sci-Fi",2017,8.1,786450
tt3450958,War for the Planet of the Apes,140,"Action,Adventure,Drama",2017,7.4,266358
tt1972591,King Arthur: Legend of the Sword,126,"Action,Adventure,Drama",2017,6.7,223432
tt2239822,Valerian and the City of a Thousand Planets,136,"Action,Adventure,Fantasy",2017,6.4,188252
tt4849438,Baahubali 2: The Conclusion,167,"Action,Drama",2017,8.2,106556
tt4846232,Good Time,102,"Crime,Drama,Thriller",2017,7.3,130540
tt1485796,The Greatest Showman,105,"Biography,Drama,Musical",2017,7.5,292525
tt3469046,Despicable Me 3,89,"Adventure,Animation,Comedy",2017,6.2,142568
tt3501632,Thor: Ragnarok,130,"Action,Adventure,Comedy",2017,7.9,774928
tt1396484,It,135,Horror,2017,7.3,568759
tt4649466,Kingsman: The Golden Circle,141,"Action,Adventure,Comedy",2017,6.7,342786
tt4116284,The Lego Batman Movie,104,"Action,Adventure,Animation",2017,7.3,159587
tt1981128,Geostorm,109,"Action,Sci-Fi,Thriller",2017,5.3,112426
tt1959563,The Hitman's Bodyguard,118,"Action,Comedy,Crime",2017,6.9,238002
tt3606752,Cars 3,102,"Adventure,Animation,Comedy",2017,6.7,108289
tt3402236,Murder on the Orient Express,114,"Crime,Drama,Mystery",2017,6.5,268452
tt4630562,The Fate of the Furious,136,"Action,Crime,Thriller",2017,6.6,240587
tt4686844,The Death of Stalin,107,"Comedy,Drama,History",2017,7.2,106921
tt1935859,Miss Peregrine's Home for Peculiar Children,127,"Adventure,Drama,Family",2016,6.7,179762
tt1355644,Passengers,116,"Drama,Romance,Sci-Fi",2016,7.0,420967
tt1431045,Deadpool,108,"Action,Comedy",2016,8.0,1066465
tt1628841,Independence Day: Resurgence,120,"Action,Adventure,Sci-Fi",2016,5.2,183589
tt2140479,The Accountant,128,"Action,Thriller",2016,7.3,304814
tt2277860,Finding Dory,97,"Adventure,Animation,Comedy",2016,7.3,286372
tt1289401,Ghostbusters,117,"Action,Comedy,Fantasy",2016,6.8,236789
tt2034800,The Great Wall,103,"Action,Adventure,Fantasy",2016,5.9,140354
tt2005151,War Dogs,114,"Biography,Comedy,Crime",2016,7.1,231858
tt1489889,Central Intelligence,107,"Action,Comedy,Crime",2016,6.3,199905
tt2119532,Hacksaw Ridge,139,"Biography,Drama,History",2016,8.1,548717
tt2267968,Kung Fu Panda 3,95,"Action,Adventure,Animation",2016,7.1,169586
tt2241351,Money Monster,98,"Crime,Drama,Mystery",2016,6.5,102266
tt1386697,Suicide Squad,123,"Action,Adventure,Fantasy",2016,5.9,698767
tt1878870,The Edge of Seventeen,104,"Comedy,Drama",2016,7.3,132830
tt2094766,Assassin's Creed,115,"Action,Adventure,Sci-Fi",2016,5.6,203003
tt1860357,Deepwater Horizon,107,"Action,Drama,History",2016,7.1,174023
tt2304933,The 5th Wave,112,"Action,Adventure,Sci-Fi",2016,5.2,113215
tt1860213,Dirty Grandpa,102,Comedy,2016,5.9,127674
tt1700841,Sausage Party,89,"Adventure,Animation,Comedy",2016,6.1,200734
